,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH_20230216002023030300T.scan,7,168,4.804,4.908,4.018,4.841,3.995,3.737,8.947,0.002,0.002,0.001,69.644,95.223,122.043,7.576,9.553,13.284,7.55,9.916,14.083
RMSEBAMH_20230216002023030300T.scan,8,192,4.986,5.162,4.287,5.086,4.262,3.919,9.743,0.002,0.002,0.001,76.324,104.79,134.25,7.95,10.137,14.213,7.966,10.518,15.015
RMSEBAMH_20230216002023030300T.scan,9,216,5.198,5.414,4.561,5.327,4.532,4.047,10.53,0.002,0.002,0.001,82.833,115.134,148.129,8.299,10.771,15.109,8.212,11.12,15.803
RMSEBAMH_20230216002023030300T.scan,10,240,5.256,5.519,4.79,5.429,4.761,4.112,11.147,0.002,0.002,0.001,87.833,123.27,159.39,8.549,11.224,15.962,8.317,11.423,16.491
RMSEBAMH_20230216002023030300T.scan,11,264,5.334,5.62,4.928,5.53,4.899,4.246,11.716,0.002,0.002,0.001,92.106,129.01,165.528,8.761,11.636,16.44,8.356,11.606,16.739
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.99,0.992,0.996,0.991,0.996,0.98,0.999,0.987,0.976,0.938,0.988,0.997,0.999,0.934,0.966,0.969,0.889,0.941,0.945
ACORBAMH_20230216002023030300T.scan,2,48,0.983,0.985,0.991,0.984,0.991,0.959,0.999,0.973,0.946,0.873,0.979,0.995,0.997,0.883,0.934,0.939,0.803,0.882,0.89
ACORBAMH_20230216002023030300T.scan,3,72,0.976,0.978,0.985,0.976,0.985,0.935,0.998,0.964,0.927,0.825,0.967,0.991,0.994,0.831,0.893,0.9,0.715,0.805,0.817
ACORBAMH_20230216002023030300T.scan,4,96,0.971,0.971,0.979,0.969,0.978,0.911,0.997,0.956,0.912,0.785,0.952,0.985,0.991,0.779,0.847,0.855,0.627,0.718,0.729
ACORBAMH_20230216002023030300T.scan,5,120,0.966,0.965,0.971,0.963,0.971,0.888,0.996,0.95,0.902,0.757,0.936,0.978,0.986,0.733,0.792,0.805,0.538,0.62,0.626
ACORBAMH_20230216002023030300T.scan,6,144,0.961,0.958,0.962,0.956,0.962,0.864,0.995,0.943,0.892,0.732,0.915,0.97,0.98,0.68,0.74,0.758,0.444,0.503,0.518
ACORBAMH_20230216002023030300T.scan,7,168,0.957,0.951,0.953,0.949,0.953,0.844,0.994,0.939,0.885,0.708,0.889,0.96,0.974,0.636,0.689,0.713,0.371,0.417,0.444
ACORBAMH_20230216002023030300T.scan,8,192,0.953,0.946,0.947,0.944,0.946,0.828,0.992,0.934,0.879,0.686,0.864,0.952,0.969,0.59,0.64,0.665,0.303,0.344,0.363
ACORBAMH_20230216002023030300T.scan,9,216,0.949,0.941,0.939,0.938,0.939,0.815,0.991,0.929,0.87,0.666,0.837,0.941,0.962,0.548,0.587,0.616,0.257,0.27,0.299
ACORBAMH_20230216002023030300T.scan,10,240,0.948,0.939,0.932,0.936,0.932,0.808,0.99,0.928,0.867,0.643,0.816,0.933,0.955,0.516,0.549,0.57,0.23,0.225,0.242
ACORBAMH_20230216002023030300T.scan,11,264,0.947,0.937,0.928,0.934,0.927,0.793,0.989,0.928,0.866,0.632,0.8,0.927,0.952,0.488,0.511,0.542,0.208,0.18,0.201
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH0_20230216002023030300T.scan,1,24,-0.093,-0.152,0.012,-0.162,0.006,-0.047,-0.148,0.0,0.0,0.0,-1.508,-3.06,-2.871,-0.018,-0.049,-0.102,-0.002,-0.011,-0.02
VIESBAMH0_20230216002023030300T.scan,2,48,-0.157,-0.293,0.038,-0.312,0.031,-0.069,-0.296,0.0,0.0,0.0,-2.341,-5.202,-4.058,-0.024,-0.101,-0.105,0.041,-0.066,0.025
VIESBAMH0_20230216002023030300T.scan,3,72,-0.165,-0.368,0.032,-0.394,0.023,-0.152,-0.365,0.0,0.0,0.0,-2.707,-6.595,-5.778,-0.046,-0.106,-0.099,0.077,-0.046,0.019
VIESBAMH0_20230216002023030300T.scan,4,96,-0.193,-0.427,0.004,-0.457,-0.007,-0.255,-0.384,0.0,0.0,0.0,-2.725,-7.506,-7.635,-0.098,-0.161,-0.102,0.036,-0.018,-0.004
VIESBAMH0_20230216002023030300T.scan,5,120,-0.195,-0.46,-0.041,-0.494,-0.053,-0.357,-0.413,0.0,0.0,0.0,-2.941,-8.536,-9.833,-0.133,-0.221,-0.063,0.067,0.002,-0.045
VIESBAMH0_20230216002023030300T.scan,6,144,-0.209,-0.514,-0.11,-0.55,-0.123,-0.423,-0.438,0.0,0.0,0.0,-3.182,-9.695,-12.49,-0.141,-0.226,-0.001,0.043,-0.01,-0.036
VIESBAMH0_20230216002023030300T.scan,7,168,-0.238,-0.554,-0.166,-0.591,-0.18,-0.456,-0.496,0.0,0.0,0.0,-3.9,-11.271,-14.711,-0.075,-0.211,0.121,0.052,0.024,-0.078
VIESBAMH0_20230216002023030300T.scan,8,192,-0.287,-0.62,-0.194,-0.657,-0.208,-0.455,-0.595,0.0,0.0,0.0,-4.726,-12.829,-16.281,-0.007,-0.174,0.17,0.11,0.018,-0.065
VIESBAMH0_20230216002023030300T.scan,9,216,-0.351,-0.682,-0.239,-0.719,-0.254,-0.439,-0.672,0.0,0.0,0.0,-5.363,-14.255,-17.689,-0.013,-0.14,0.287,0.06,0.032,-0.039
VIESBAMH0_20230216002023030300T.scan,10,240,-0.404,-0.737,-0.275,-0.776,-0.29,-0.422,-0.713,0.0,0.0,0.0,-5.76,-15.495,-18.966,-0.02,-0.139,0.289,0.073,0.058,-0.038
