,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,6,144,0.855,0.816,0.749,0.801,0.729,0.812,0.998,0.84,0.776,0.693,0.576,0.529,0.808,0.566,0.754,0.798,0.327,0.446,0.496
ACORBAMH_20230216002023030300T.scan,7,168,0.848,0.795,0.727,0.779,0.703,0.797,0.998,0.836,0.764,0.669,0.552,0.505,0.792,0.539,0.723,0.779,0.296,0.379,0.457
ACORBAMH_20230216002023030300T.scan,8,192,0.837,0.784,0.704,0.768,0.676,0.77,0.998,0.826,0.753,0.646,0.531,0.481,0.769,0.518,0.697,0.754,0.291,0.321,0.401
ACORBAMH_20230216002023030300T.scan,9,216,0.825,0.769,0.668,0.752,0.639,0.737,0.998,0.82,0.735,0.622,0.505,0.456,0.749,0.481,0.662,0.73,0.261,0.255,0.364
ACORBAMH_20230216002023030300T.scan,10,240,0.81,0.75,0.639,0.733,0.606,0.701,0.998,0.816,0.723,0.589,0.466,0.416,0.719,0.449,0.626,0.688,0.266,0.217,0.311
ACORBAMH_20230216002023030300T.scan,11,264,0.799,0.742,0.619,0.725,0.584,0.667,0.998,0.816,0.708,0.572,0.439,0.366,0.693,0.414,0.571,0.659,0.227,0.167,0.291
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH0_20230216002023030300T.scan,1,24,-0.352,-0.285,-0.079,-0.29,-0.089,-0.166,0.094,0.0,0.0,0.0,-0.539,-3.042,-5.914,-0.195,-0.1,-0.096,0.03,-0.016,-0.016
VIESBAMH0_20230216002023030300T.scan,2,48,-0.493,-0.467,-0.017,-0.481,-0.03,-0.19,0.113,0.0,0.0,0.0,-0.879,-4.768,-7.337,-0.31,-0.355,-0.036,0.077,-0.229,0.16
VIESBAMH0_20230216002023030300T.scan,3,72,-0.539,-0.54,0.024,-0.56,0.009,-0.256,0.09,0.0,0.0,0.0,-1.329,-5.877,-8.961,-0.492,-0.531,-0.006,0.146,-0.14,0.047
VIESBAMH0_20230216002023030300T.scan,4,96,-0.56,-0.57,0.041,-0.593,0.022,-0.328,0.033,0.0,0.0,0.0,-1.976,-6.736,-10.684,-0.583,-0.706,0.044,-0.023,-0.005,-0.041
VIESBAMH0_20230216002023030300T.scan,5,120,-0.589,-0.604,0.057,-0.629,0.036,-0.39,-0.014,0.0,0.0,0.0,-2.492,-7.1,-11.764,-0.601,-0.854,0.294,0.095,-0.005,-0.233
VIESBAMH0_20230216002023030300T.scan,6,144,-0.605,-0.633,0.025,-0.662,0.001,-0.438,-0.028,0.0,0.0,0.0,-2.663,-7.329,-12.849,-0.69,-1.043,0.523,0.06,-0.047,-0.183
VIESBAMH0_20230216002023030300T.scan,7,168,-0.621,-0.646,-0.009,-0.676,-0.034,-0.467,-0.044,0.0,0.0,0.0,-2.859,-7.683,-13.278,-0.737,-1.24,0.719,0.117,0.047,-0.301
VIESBAMH0_20230216002023030300T.scan,8,192,-0.625,-0.65,-0.021,-0.681,-0.047,-0.499,-0.105,0.0,0.0,0.0,-3.46,-8.259,-13.918,-0.76,-1.406,0.676,0.242,0.083,-0.259
VIESBAMH0_20230216002023030300T.scan,9,216,-0.642,-0.67,-0.044,-0.703,-0.074,-0.532,-0.094,-0.0,0.0,0.0,-3.453,-8.315,-14.548,-0.966,-1.575,0.768,0.077,0.133,-0.21
VIESBAMH0_20230216002023030300T.scan,10,240,-0.665,-0.668,-0.035,-0.705,-0.066,-0.538,-0.055,-0.0,0.0,0.0,-3.201,-7.862,-14.48,-1.005,-1.62,0.87,0.137,0.166,-0.216
VIESBAMH0_20230216002023030300T.scan,11,264,-0.673,-0.655,-0.046,-0.695,-0.077,-0.54,-0.029,-0.0,0.0,0.0,-3.009,-7.4,-14.736,-1.01,-1.603,0.988,0.164,0.108,-0.073
RMSEBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH0_20230216002023030300T.scan,1,24,0.93,0.764,0.447,0.83,0.464,0.656,1.767,0.001,0.001,0.0,16.992,17.461,19.499,2.571,1.318,2.911,2.358,1.197,2.852
RMSEBAMH0_20230216002023030300T.scan,2,48,1.222,1.128,0.654,1.219,0.677,0.859,2.02,0.001,0.001,0.001,18.438,18.809,21.713,4.075,2.203,4.547,3.617,1.95,4.245
RMSEBAMH0_20230216002023030300T.scan,3,72,1.354,1.311,0.805,1.415,0.834,0.965,2.23,0.001,0.002,0.001,20.091,21.061,24.36,4.783,3.013,5.79,4.263,2.517,5.318
RMSEBAMH0_20230216002023030300T.scan,4,96,1.426,1.421,0.915,1.525,0.948,1.039,2.343,0.002,0.002,0.001,21.147,22.662,26.601,5.271,3.642,6.502,4.563,2.964,6.238
RMSEBAMH0_20230216002023030300T.scan,5,120,1.505,1.54,1.004,1.645,1.043,1.091,2.301,0.002,0.002,0.001,20.714,22.213,27.436,5.603,4.113,7.078,4.864,3.297,6.737
RMSEBAMH0_20230216002023030300T.scan,6,144,1.568,1.649,1.088,1.755,1.133,1.119,2.295,0.002,0.002,0.001,20.445,21.691,28.119,5.88,4.506,7.566,5.087,3.5,6.817
RMSEBAMH0_20230216002023030300T.scan,7,168,1.622,1.728,1.158,1.833,1.208,1.176,2.308,0.002,0.002,0.001,20.491,21.718,28.815,6.073,4.909,8.012,5.256,3.791,6.872
RMSEBAMH0_20230216002023030300T.scan,8,192,1.69,1.788,1.24,1.888,1.291,1.271,2.329,0.002,0.002,0.001,20.927,22.689,30.91,6.257,5.329,8.696,5.332,4.192,7.27
RMSEBAMH0_20230216002023030300T.scan,9,216,1.772,1.891,1.293,1.99,1.346,1.379,2.417,0.002,0.002,0.001,21.584,23.573,32.772,6.452,5.802,9.458,5.489,4.484,7.858
RMSEBAMH0_20230216002023030300T.scan,10,240,1.83,1.941,1.332,2.043,1.384,1.456,2.489,0.002,0.002,0.001,22.037,23.829,33.877,6.515,6.053,10.293,5.463,4.643,8.224
